name|orcid|month_of_birth|year_of_birth|mail|bio
Chee-Yong Chan|9780-9993-7325-5030|10|1962|cmMXEg@mail.polimi.it|great
Arvind S. Krishna|8269-0515-6086-0294|3|1946|KUPDck@duck.com|Awesome Sugar!
Lai Xu 0001|0000-0003-0063-759X|12|1987|NKehQp@mail.polimi.it|Great product - weak packaging
Vincent Leclercq|2245-6789-0685-1799|10|1956|tgwEzj@duck.com|Excellent!
Maria Semenyak|0169-4194-8836-3734|2|1972|KpnHV@duck.com|Excellent for G/F
Justus Klingemann|8626-9270-4409-3924|7|1940|rOZDrK@mail.polimi.it|Amazing!
Tiezhen Wang|6102-0270-7861-3808|9|1978|MFyGGvf@mail.polimi.it|Very tasty chips!
Philipp Liegl|3758-2428-4420-3817|1|1984|BwtfCsJ@gmail.com|YUMMY
Kjetil Nørvåg|9929-7172-2357-4815|10|1972|CvfLhtX@gmail.com|Excellent Taste
George Karabatis|4199-5067-7512-5173|8|1962|sYvvNo@gmail.com|Over priced chips and lack rice taste
Peter Kuchment|3834-3872-1169-6549|12|1977|LIzvGw@outlook.it|Rotel saves me on a daily basis
Fabio Casati|1560-5578-0737-9178|1|1972|gSRpwF@mail.polimi.it|it's fabulous, but *not* from amazon!
Husna Osman|6325-8523-1645-0219|8|1960|JTwnev@tiscali.it|too expensive
Stéphane Lafortune|9034-6372-4066-8238|10|1978|nWplaDO@mail.polimi.it|Not mild enough for me lol
Thomas Villmann|1654-5840-2154-9646|12|1956|OKjFs@outlook.it|Great Natural Energy
Flaminia L. Luccio|0000-0002-5409-5039|1|1987|Vvgwxuq@outlook.it|I like this stuff
Pushpak Bhattacharyya|3512-1336-4144-6280|8|1967|bGlBgp@mail.polimi.it|Great Energy
Jorge Martínez Gil|1208-5594-0438-5409|3|1940|AVUDcJP@outlook.it|Not sure
Nicholas R. Jennings|6208-8841-9463-8366|5|1953|xBaJdI@outlook.it|The best energy shot out there, smooth and organic!
Ross S. Purves|2861-4757-2906-8125|1|1945|BCQmwvP@outlook.it|Fantastic, natural energy
Johann M. Márquez-Barja|0000-0001-5660-3597|9|1983|GiDQDk@outlook.it|Way better than Guayaki!
Young-Kwang Nam|5709-8155-0939-6252|12|1988|edbbcub@mail.polimi.it|Doesn't taste that good but provides you the energy
Marc Dalmau|1439-4296-4771-7185|8|1951|aZaarr@outlook.it|Rocket in a Bottle
Verena Kantere|0000-0002-3586-9406|1|1960|PturS@outlook.it|This stuff works!!!
Yannis Tzitzikas|8601-4432-4429-8944|1|1956|qbGcj@tiscali.it|Favorite energy shot and all natural too!
Derick Wood|5013-3874-3511-3931|7|1987|QgMiW@tiscali.it|natural energy boost
Nicole Schweikardt|8777-6168-0701-6767|4|1955|BcpnQg@duck.com|Best energy shot I have ever tasted!
Gio Wiederhold|7247-1699-7359-7438|2|1984|WQSYS@mail.polimi.it|The Best
Marco Begolo|3049-0402-3939-1429|7|1973|ZmuGUbI@duck.com|Tested by a trucker
Jochen Renz|0105-2126-2498-8157|5|1978|vInyg@mail.polimi.it|Good Stuff
Luís E. T. Rodrigues|7110-9975-5746-9476|7|1971|uBBioO@outlook.it|Great energy drink without artificial ingredients
Michel Toulouse|0000-0003-0789-7829|2|1956|nYewXRK@duck.com|Flavor getting better, energy is great
Alberto José Bugarín Diz|7110-6184-1970-8578|2|1975|wXACAAI@tiscali.it|So awful I can barely describe
Laura Conti|4935-7056-4668-7741|10|1970|nSoBUm@duck.com|could use only once
Shin'ichi Konomi|1436-4599-6525-6055|11|1942|DxkHlFB@outlook.it|VANILLA TOOTSIE ROLLS
Nélio Cacho|1761-0199-3354-6171|3|1986|gqIHafv@outlook.it|One of my Favoritte foods
Stratos Idreos|6988-7757-0893-8730|3|1958|PDnIJ@mail.polimi.it|Fantastic!
Wolfgang Klas|2607-7449-9215-0471|12|1976|mlcewX@gmail.com|WOW
Ralph Bergmann|8230-4435-3235-2765|3|1958|lsxSr@gmail.com|Very Dissapointed
Ralf Müller|6375-7002-2904-1406|12|1945|vwiVYCx@gmail.com|what quantity is it!
Emna Fki|3814-3222-5136-0195|4|1976|oXaMQ@mail.polimi.it|Very Good Coffee
Mehmet Altinel|8273-3995-5699-9038|5|1965|XQtremE@mail.polimi.it|Very Tasty
Paolo Moretti|4345-6609-5525-1401|1|1978|tACKqi@outlook.it|Excellent coffee
Werner Retschitzegger|1630-1208-0526-4758|6|1981|BWeyw@outlook.it|Hot!
Gerard Meszaros|8729-4788-0162-0710|8|1954|edFJU@outlook.it|Hot and delicious
Yannis Vassiliou|3300-2315-2874-6207|1|1949|ZkcseAI@duck.com|Swiss Chalet
Ron Sun|6383-9661-7191-4960|2|1960|xSoQxSh@duck.com|Oyster Sauce
Imen Filali|6001-2394-9102-5047|3|1945|AdPIS@outlook.it|ABSOLUTELY DELICIOUS!
Celeste Pizarro|5897-7526-7905-1922|2|1955|OHVTLv@mail.polimi.it|Great gag gift
Gabriel Ciobanu|8287-1988-6917-2927|10|1967|CUnoq@tiscali.it|arrived FAST
Orit Hazzan|1738-3697-8171-1605|8|1974|kaESSmo@duck.com|Penguin Pooper
Paul Chapron|3462-3672-3433-3781|5|1957|kItXtu@mail.polimi.it|Never Arrived
Franck Gechter|3599-9153-4050-1915|11|1961|ssezSA@tiscali.it|coffee-mate coffee creamer hazelnut
Thomas Pötsch|2085-4166-3805-0605|4|1940|UnteXlF@gmail.com|No broken creamers!
Johannes Hund|4757-6896-9513-5813|2|1947|eaRLRPA@mail.polimi.it|Shipped great
Sven Hartmann|0649-4800-1823-5138|8|1953|SDExGo@mail.polimi.it|Better Packaging
Sjoerd M. Verduyn Lunel|8859-6728-3431-8568|11|1989|kKneSoX@duck.com|coffee-mate creamer
Benjamin Gâteau|7233-8539-0971-5118|10|1956|iPZyqfJ@mail.polimi.it|Perfect for work
Guthemberg Silvestre|2742-0314-9064-2775|6|1967|wCkLe@outlook.it|AWFUL
Iván Pastor Sanz|0733-8053-4129-4454|9|1962|OdfiLsh@mail.polimi.it|Pop-Tarts Work of Art
Julien Maire|5411-8518-5337-0400|5|1960|Dxwidl@mail.polimi.it|Yes, this is real excellent coffee!!!
Slawomir Stanczak|9085-6402-6153-9288|1|1974|hRIAMq@gmail.com|Does not taste very good
Laaziz Lahlou|1429-8656-0357-5502|6|1948|ZiNfg@gmail.com|No no
Wei Liu 0007|0706-6993-7643-8748|8|1973|tfSJEIl@duck.com|The king of all seasoning salts.
Zhanzi Qiu|1913-0076-8258-4613|11|1972|SxxRTp@duck.com|Toasted Sesame oil
Deke Guo|5900-2583-3075-1719|8|1963|ktkXen@outlook.it|Tasty, tasty tasty!
Andreas Geppert|4000-9805-3729-5710|6|1977|aaNmAG@tiscali.it|Love, Love, Love These!
Luis Rivera|5296-6216-9367-2401|7|1947|kVoGLT@mail.polimi.it|great for eating whole foods, clean with veggie brush
Viktor K. Prasanna|7174-0456-0506-7575|5|1953|WEimB@mail.polimi.it|Absolutely LOVE IT!!
Joao Meidanis|3651-3651-7841-9263|11|1969|dmRASj@duck.com|Only good for ice
Shawn Bowers|8397-6933-9476-9800|9|1985|LhOCG@tiscali.it|Great for teething
Ahmed Abdelgawad|3691-6867-4131-9360|9|1983|VOgYpyl@mail.polimi.it|Wonderful idea-difficult to clean.
Raju Halder|0000-0002-8873-8258|2|1980|CbJjl@mail.polimi.it|I wasn't that impressed
Hervé Thiriez|7232-8022-5119-1907|1|1970|dmVoHp@outlook.it|Love the Fresh Food Feeder!!
Sébastien Varrette|6212-8548-0424-1699|1|1981|JsYHOxC@tiscali.it|Great Beans!!!
Yang-Sae Moon|0444-0847-2999-8031|11|1945|kPCYBx@outlook.it|Good stuff!
William Kokou Dedzoe|8740-6916-6033-0401|2|1983|gEeAi@outlook.it|excellent - exactly what I expected
Thomas Zilio|1405-4052-1967-1792|7|1968|kHAlJco@outlook.it|These are the Best!
Santiago Aja-Fernández|3841-2125-8710-9390|5|1987|tDTXg@gmail.com|Love Love Love
Anastasia Analyti|5387-3336-4974-9713|10|1945|aKAXEL@duck.com|The product is great but the price is out of line
Elisa Quintarelli|0000-0001-6092-6831|4|1958|PWBnfc@outlook.it|Swedish Pearl is not the same as  Belgian Pearl
Arndt Kuhlman|3420-0670-8025-9041|11|1970|Dpymal@duck.com|Perfect!
Nils Klimanis|7326-2800-6347-5406|10|1968|RPZQW@duck.com|great taste
Wolfgang Küchlin|0328-5391-0566-0931|10|1988|UDwRPfV@tiscali.it|Taste-tested by a wine maker
Nezo Ibrahim Fofana|0382-5492-9645-5212|10|1988|fJmPHP@outlook.it|Excellent Everyday Olive Oil
Carlos A. Coello Coello|0000-0002-8435-680X|7|1967|LmbDe@mail.polimi.it|Love Weavers, I am a fan.
Dou Shen|6656-5163-9528-6656|12|1978|MAAyUVY@mail.polimi.it|Make My Day
Jordan Gottardo|9347-9001-5222-7291|1|1969|ZVsnzIr@mail.polimi.it|Treat yourself to the best coffee!
Mirjana Pavlovic|1079-7691-2349-4175|1|1973|FALUjE@mail.polimi.it|Bitter
Boualem Benatallah|3379-9057-0012-9975|6|1967|EIZkOo@duck.com|"Drinking it now, love the latin america ""aroma"""
Fabiano Fernandes dos Santos|5485-4196-6269-4623|3|1944|wdSbuvM@gmail.com|GREAT SNACK
Emanuela Barbi|5660-7623-3477-6419|11|1947|MhqWtxU@gmail.com|Best Bar
Nathaniel Palmer|3389-3793-4189-5561|4|1951|sCihP@outlook.it|Can't find anywhere else!
Laurent d'Orazio|1832-4847-9006-3878|4|1951|uvtSb@duck.com|My New Granola Bar
Xue Iuan Wong|9084-8051-4127-5603|2|1987|reuZXH@outlook.it|Another Husband Favorite
Delphine Reinhardt|2824-1904-6834-3773|6|1964|Eirhhr@outlook.it|Price surprise
Richard Sharp|8206-3233-7397-7276|4|1963|dBoMEl@mail.polimi.it|Very Smooth Coffee - Highly Recommended
Myra Spiliopoulou|6115-9190-4213-8730|1|1953|QXaGe@duck.com|A saving grace for Green Mountain Coffee...
Nickolas Zoulis|9952-2217-3873-1917|7|1973|bOxkcyF@outlook.it|My favorite
Sven Tomforde|0699-1965-6597-1804|8|1951|hdxue@outlook.it|Good Coffee
Jean-Pierre Müller|0106-8627-7951-3900|9|1963|oivscxA@gmail.com|Nantucket blend k-cups
Karl Wiggisser|5208-1807-7830-4290|5|1989|hslgz@duck.com|Fantastic Chicken Noodle soup
Giuseppe Santucci|5983-5737-7749-7763|11|1972|vLfQh@tiscali.it|Greatest Oil since slice bread !!!!!!!
Shruthi Kashyap|2071-2340-2095-3953|1|1942|ESUUK@outlook.it|Best Ever!
Paola Salomoni|4567-2064-9402-0621|5|1984|nbOpQ@mail.polimi.it|Deliciously scrumptious
Alberto Nannarelli|0000-0002-8303-6329|12|1959|gTtdLvt@gmail.com|Heinz no more!
Cheng-Shang Chang|0190-6504-8596-0960|8|1946|NGBaA@tiscali.it|This is really good stuff
Gláucia de Oliveira Dias|9089-8252-2480-2168|12|1961|YLINDZ@outlook.it|Disappointing
Nick Craswell|7389-2908-0353-7688|12|1944|zQYLpSt@tiscali.it|Waste of money
Marion Vasseur|0187-0977-2965-0748|3|1989|IrWze@mail.polimi.it|Porcini Mushrooms an excellent product
Cédric Bonhomme|1267-6128-3918-8063|11|1946|SCjxsp@mail.polimi.it|Excellent flavor, mostly large pieces
Meng Shen|0000-0002-1867-0972|12|1957|foeAodV@gmail.com|The Best
Vassilis J. Tsotras|1967-2717-6609-4223|4|1941|kDctEZR@mail.polimi.it|Good for the money
Einar Smith|6943-5905-5705-9005|6|1952|mIlaV@outlook.it|not the highest quality, but good for the price.
Clara Monaco|4717-1346-7092-2958|9|1982|ISqgyI@gmail.com|Fresh - Whole.. perfect
Heike Stach|0844-9746-1648-1618|2|1950|eKidu@mail.polimi.it|Fresh and Tasty
Shili Xiang|0361-5746-8218-8531|3|1975|KZjpAA@gmail.com|Valentine gift winner
James M. Boyle|2180-5186-1262-6313|4|1974|YKYCq@tiscali.it|Cat won't go near it!
Matt Stephens|8087-6862-4315-5240|7|1972|vvGINm@gmail.com|Simply WIld Chick & Brown RIce for Cats
Michael Mrissa|0000-0002-2330-1004|11|1945|CwBJTjl@tiscali.it|Ham Base
James G. Nagy|6269-6088-3384-0755|7|1970|KuQqlXD@outlook.it|MSG Ham Base
Bodiuzzaman Jony|7292-3679-4469-1307|7|1959|NlDEd@tiscali.it|Delisious Pancakes
Gabriella Pasi|5606-3875-2292-4226|3|1969|ZSlRAVK@mail.polimi.it|A Great All Around Mix
Lucile Beaugil|3413-7588-2122-0454|3|1961|Suxto@duck.com|Great mix
Agnieszka Dardzinska|0000-0002-2811-0274|12|1955|HItYd@mail.polimi.it|Perfect mix for egg-allergic!
Alexandros Karakasidis 0001|5206-7724-5169-9831|7|1962|BbPNIw@gmail.com|Arrowhead Mills whole grain buttermilk Pancakes are easy!
Maarten van Steen|7917-9605-6925-7525|3|1963|DKLaaq@tiscali.it|Good for Egg Allergy
Alain Trouvé|1953-2076-9722-7967|10|1943|FNwcqR@duck.com|Love the product disappointed in the shipping.
Shih-Hsing Wang|0745-9836-0354-9965|10|1981|uWEKtrv@outlook.it|poor item packaging
Brice Follet|8550-1021-8296-7016|12|1971|oNsaJ@mail.polimi.it|Awful
Vijay Mago|0906-4088-5241-3922|4|1946|aOQxW@gmail.com|disappointing
Kenza Kellou-Menouer|4394-6937-3243-5591|12|1973|GrQnbb@gmail.com|Great Healthy Snack
Ke-Jia Chen|3850-9421-9567-1710|7|1987|eolHqNA@duck.com|Sweet and Soothing
P. Pandurang Nayak|9927-6882-9617-5823|6|1989|UAwUYm@duck.com|minty flavor
Asma Ben Letaifa|0000-0002-1527-2557|2|1968|KTtqBxh@duck.com|Ingredients take about 2 seconds to read
Alvaro A. Cárdenas|5047-1099-4740-0825|5|1961|xHObriZ@mail.polimi.it|A Fantastic & Healthy Product
Heiko Schuldt|1216-8731-2687-2764|10|1950|Hjmed@tiscali.it|Great product
Donald Baker|0220-8608-2363-1036|11|1968|YoMDOhp@mail.polimi.it|Excellent tea!
Siu-Ming Yiu|5817-3797-6312-7967|8|1955|HaBaq@outlook.it|french's roast'n bags
Laura Montanini|1353-3346-4363-2456|1|1944|rfpZp@outlook.it|best roast ever
Laura Bright|9304-6207-7544-6515|9|1968|GKYbiBA@outlook.it|Franch's is the best
Michaela Schicho|1300-4705-5185-0625|11|1958|SKquaPK@outlook.it|Double the pleasure!
Wilhelm Hasselbring|5596-6851-7013-5431|3|1987|YWOdWuJ@duck.com|VERY GOOD! Great taste and easy for a single guy!
Eithan Ephrati|3781-3679-6073-8016|7|1972|IoakJP@mail.polimi.it|An acquired taste!
Philipp L. Rautenberg|9190-0988-7341-3164|1|1969|kPcvg@tiscali.it|Look elsewhere for your whole grains
Fabio Paternò|0000-0001-8355-6909|9|1945|lvKAlFL@gmail.com|Hey!
Jacques Saraydaryan|5191-4615-5526-2110|12|1983|uLFwTWa@mail.polimi.it|These are Famous for a reason.
Arihant Jain|1337-9162-8854-8866|9|1946|UMVtc@mail.polimi.it|Wow
Paul E. S. Dunne|3064-9330-1143-4203|8|1969|rCvbA@gmail.com|God, I love these cookies!!!
Ilham Benyahia|2312-3428-5498-6882|9|1982|Oloka@tiscali.it|Hard
Takahiro Murata|2042-6469-4118-5604|6|1982|KFzIdn@gmail.com|Kettle potato chips:  Fully loaded baked potato
Wei-Cheng Lai|2931-8199-4429-3074|11|1967|sfYqiaG@gmail.com|Fresh, Lightly-Spiced, Crunchy Kettle Chips. Good Value, Good Product.
Salah Merniz|5368-1162-4432-5880|1|1940|newtt@mail.polimi.it|glad to find them in 1 oz size
Thaís Vasconcelos Batista|0000-0003-3558-1450|11|1953|ZlCkt@outlook.it|pretty good, could be better
Song Y. Yan|3301-3781-7755-7259|3|1945|mFzBfFi@mail.polimi.it|a slight taste of jalapeno
Isabelle M. Demeure|1573-2360-4336-4556|8|1958|KxgUowm@mail.polimi.it|Best chips ever
Aris Gkoulalas-Divanis|1452-0738-0789-8254|5|1954|HSEpps@duck.com|Kettle potato chips:  Sweet onion
Agrima Srivastava|9007-4037-0805-3455|3|1951|JgGDoaK@gmail.com|Ridiculously Good
Jacques Wainer|1253-2253-9697-4585|7|1964|rZdqn@tiscali.it|Delicious!
Samuel A. Fricker|4194-5136-4156-7072|1|1943|KEpjuV@mail.polimi.it|PUCKER UP
Vijay Machiraju|8359-1118-5594-3446|9|1973|mtErsYT@duck.com|I love these chips.  They are thick and crunchy!
Hieu Nguyen|4091-0205-0854-1334|7|1942|qJUOjY@mail.polimi.it|Quite good
Sakkaravarthi Ramanathan|3705-6994-5364-4717|8|1962|tRMDc@duck.com|Delicious
Stefano Ghignone|0000-0002-2033-2286|7|1962|XXZAABq@outlook.it|Salty and vinegary!!!
Danilo Pianini|1707-5040-2599-5849|7|1953|PUCrpp@tiscali.it|WOW!!!!
Cédrick Bellissens|5790-2982-3436-8940|10|1981|cHoII@outlook.it|Best gluten-free dairy-free chips
Simone Angelini|0053-8697-0000-7994|12|1969|UOWdTb@mail.polimi.it|A unique flavor for fans of Thai food
Fu Cheng|1616-6059-3477-0201|3|1967|saiVnNS@outlook.it|Honey Dijon leaves bad aftertaste, NY Cheddar are pretty good
Joemon M. Jose|0373-1604-5252-6088|5|1981|CdnoIP@gmail.com|Yowzah!!
Chris Conlan|4503-8279-9476-5592|6|1976|GoKFYD@outlook.it|Very good.
Antonio Pizza|2814-7787-9924-6485|3|1964|xEKVEVA@outlook.it|Excellent!
Hiroshi Shimizu|4263-9948-0922-9933|8|1966|QhUdTrF@gmail.com|Tangy goodness.
Vanja Josifovski|1467-1055-7297-0506|9|1940|muNSlmX@mail.polimi.it|Heavy on the Vinegar
Sune S. Nielsen|7128-3095-0497-5295|2|1981|KWSTai@outlook.it|A delicious, crisp chip with good flavor
Daniel Lowd|3593-6649-7252-3706|6|1956|ALHttm@tiscali.it|BEST BUY in BBQ Chips
Germán Montoro|9464-8431-6897-1125|10|1976|msECmY@mail.polimi.it|Love Them!
Hans-Jürgen Appelrath|5141-7812-4222-5050|4|1964|ZfnYwe@duck.com|Crunchy and Tasty
Alexander V. Smirnov 0001|7576-4401-4069-1131|12|1940|CvHBu@tiscali.it|Convenience at low cost
Tomasz Ksiezyk|9462-2215-3438-2399|9|1967|dnRoJUL@outlook.it|An Acquired Taste
Antonino Mazzeo|9742-2965-1579-3246|10|1989|ilKuuM@mail.polimi.it|Best deal ever!
Patrick Jeuniaux|0727-2116-0535-3878|5|1967|YiYlY@mail.polimi.it|Yum!
Bianca Wackersreuther|5322-0956-1594-8929|8|1963|gUGBW@outlook.it|Barbeque perfection
Hilla Atzmon|7500-0364-9232-5466|8|1989|EaFDY@tiscali.it|Excellent Thai-flavored chip
Menachem Shtalhaim|0560-7554-4399-6263|7|1946|odVKyrj@gmail.com|Best Kettle Chips!
Peter Knees|7120-6709-3557-4333|6|1984|vyIOVh@outlook.it|The Supreme Salt & Vinegar
Renata Vieira|3576-1241-7895-3992|11|1953|RtdRtT@outlook.it|Delicious as always!
Fabienne Boyer|5466-6727-3418-2131|10|1972|DEREIZl@tiscali.it|OooH Yummy!
James Michaelis|1591-8390-3753-2760|3|1968|KTVbVA@duck.com|Not quite the best...
Stasinos Konstantopoulos|0000-0002-2586-1726|4|1982|SFxPb@tiscali.it|want to gaain twenty pounds with no control whatsoever? Buy this!
Ahmed K. F. Khattab|8748-7269-2329-0664|4|1984|SbDvnV@gmail.com|One of Their Best Flavors
Michael R. Genesereth|0550-0590-5196-4238|12|1950|rwMKcZ@gmail.com|Love these chips!
Martin Ester|9986-9383-7708-1695|7|1981|BHMIlCW@outlook.it|Highly addicitive chips
Leticia Hernando|6414-0660-7329-9766|12|1945|UejaRK@gmail.com|These are AWESOME!
Klaus-Dieter Gronwald|6800-2253-6367-4134|11|1948|pydAxy@outlook.it|"One bite and you'll become a ""chippoisseur"""
Frank Ohlhaver|2200-7169-6352-2558|7|1976|ubzjji@gmail.com|Crunchy, salty, sweet...finally, a Superbowl snack that scooores!
Alexandros Labrinidis|1676-8002-9548-3249|1|1966|aPzfFOH@outlook.it|These chips make me weak at the knees
Marwa Gamal|2737-0478-0139-6463|9|1971|HUoxpm@outlook.it|By far my favorite chips
David Evans 0001|6421-0376-8221-9619|1|1988|KfTmrl@tiscali.it|Good chips, more cheese
Andrea De Salve|0000-0003-1691-7182|10|1989|DJGeK@duck.com|Pretty good tasting chip
Farnoush Banaei Kashani|7633-9699-1423-8935|6|1981|NxMUz@duck.com|Yummy chips
Marisol García-Valls|0000-0003-2383-5310|10|1962|KGNSG@tiscali.it|Best sour cream & onion chip I've had
Safa Hamdoun|7036-1732-3447-4747|1|1988|QjgMX@outlook.it|Great chips
Erich-Peter Klement|9958-1595-2942-6738|11|1957|YgXptiO@gmail.com|Fabulous!
Marlena Kruger|1790-8145-1618-9695|4|1968|eBBTF@outlook.it|Box-o-Chips
Khady Ba|3361-2743-6903-9900|4|1977|QFAwNk@tiscali.it|fantastic!you can not beat this taste and you can not resist to it only one if you are spice lover
Hervé Costantini|1942-2351-9449-4157|1|1979|YLtuJr@tiscali.it|An addictive potato chip
Alessia Visconti|0000-0003-4144-2019|2|1980|eBKxyhL@duck.com|Great Chip!
Bernhard Jaecksch|5698-0364-4728-5219|11|1982|AkUMG@mail.polimi.it|Excellent balance of taste, crunchiness, and moisture
Bernhard R. Kämmerer|7306-0139-5530-4937|10|1943|wKgwSK@outlook.it|Yum
Walid G. Aref|2164-9342-0526-7013|11|1957|vUwhhdk@duck.com|Very good chips at a great price.
Horst Eggert|6437-3721-2872-9589|4|1944|hwfgDiK@outlook.it|70% of the chips in the bag are over cooked
Abdessamad Imine|3238-9534-4591-5650|5|1986|hBbrc@tiscali.it|Great chips!
Ahmed Serhrouchni|0935-6947-1019-1055|12|1975|MCnLnl@duck.com|Not bad but a little hard to get used to
Caroline Lasser|5325-7686-6143-7178|10|1966|SNDqN@tiscali.it|Firm quality chip
María Teresa Arredondo|0000-0003-3113-3976|7|1942|cnoiI@tiscali.it|Not  Very Creamy or Chivey...
Michael Dietz|5993-8608-3964-4694|8|1987|rYxnbT@tiscali.it|Prefer other flavors
Sertac Karaman|3532-3337-7672-8674|9|1967|ULJsZ@tiscali.it|These will be habit forming!
Antonina Dattolo|0000-0002-8511-524X|1|1985|amKCy@outlook.it|Good and tangy
Wenfei Fan|0000-0001-5149-2656|12|1950|OmcWcv@mail.polimi.it|the best chips ever
Yoshiaki Tsukamoto|0988-9397-8531-8333|5|1979|WtfLH@mail.polimi.it|I do not even like kettle chips and I love these
Giovanni Ciatto|0000-0002-1841-8996|10|1984|bplHZ@outlook.it|You have to love sea salt and vinegar already
Yousef J. Al-Houmaily|7028-0460-0259-6074|2|1951|LPsMRPG@outlook.it|Addictive
Frank Schönthaler|6298-4974-4824-6170|11|1985|dyGSnli@tiscali.it|amazing chips
Theo P. van der Weide|0087-3046-4262-8676|9|1950|tyPtm@tiscali.it|Best Chip Ever
Sven Bittner|8471-1154-9531-1660|8|1975|yvcIn@gmail.com|Tangy, spicy, and sweet- oh my!
Yingxia Shao|0000-0002-8559-2628|4|1977|ChJoMd@outlook.it|An indulgence with a bite
Etienne Gagnon|6066-0458-6627-1337|2|1965|LEBxLs@outlook.it|The best I've had
Peter Matthew|0000-0002-8363-0715|5|1946|uarcGY@mail.polimi.it|Excellent chip!
Manolis Vavalis|2562-0788-5032-0189|6|1952|YgPyXkc@tiscali.it|salt and vinegar chips
Stefan Mangold|7474-4112-8083-4283|5|1951|eQXSYJ@outlook.it|Delicious!!
Nasir Ghani|9560-3359-2431-7265|10|1976|XGYORGm@duck.com|I like them.
Paul Klint|2462-0020-5203-3994|1|1980|LiayC@mail.polimi.it|Love Kettle Chips
Manish Soni|6167-3362-7439-5247|7|1983|zkyogSc@tiscali.it|Best unsalted chips
Alex Aved|0000-0002-7015-7359|7|1954|vIrZN@gmail.com|So Delicious...Yet my companions wont touch them.
Gergely Ács|5277-0303-5652-4010|11|1979|GbcYZUr@tiscali.it|Love Kettle Chips, but not this flavor!
Marcin Relich|0000-0003-1193-432X|8|1983|ZSotErD@duck.com|Maybe the worst chips ever.
Alexandre Cervieri|0923-7291-2134-0358|9|1959|IVlzK@outlook.it|Surprise 1  It's different...
Nathalie Cislo|1682-6607-7753-9289|12|1971|vHWKzU@gmail.com|Tasty
Emmanuel Adam|0000-0003-4052-4135|6|1972|pcooOqQ@outlook.it|Crisp
Saïd Tazi 0001|5694-6865-7107-2699|7|1959|YaqCBC@tiscali.it|Vinegar... Not my taste!
Dave R. Lawrence|2720-4672-1775-2780|5|1988|UUMkUg@outlook.it|spicy thai chips
Michal Baczynski 0001|6361-3536-8135-9565|2|1982|pOTWOJ@duck.com|Delicious, what else did you expect?
S. Au|7683-5720-3460-0286|10|1980|LNCrq@mail.polimi.it|Great Value
Benedetta Tondi|2472-2471-3287-5185|10|1952|VPoQw@tiscali.it|"I have had better ""Jalapeno Kettle Chips"""
Sanjay Kumar Jena|9096-7271-7974-8651|8|1945|wrVcbHJ@duck.com|Spicy but good
Valentina Orrù|8404-4430-8246-8617|8|1969|VTgYkbS@tiscali.it|boulder salt and malt vinegar chips are way better
Anne H. H. Ngu|8400-4343-7534-7926|5|1968|WPaFy@outlook.it|POTATO CHIPS
KwangSoo Yang|0000-0003-4293-9908|5|1980|XbljpY@tiscali.it|Lightly Salted, Heavily Delicious!
Sophie Chabridon|8359-9888-2784-3198|11|1961|LFcftkt@outlook.it|Too Much Flavor
Manish Bhide|5510-8343-4980-5957|3|1989|uFIlzRA@outlook.it|Love at first bite!  Tongue-puckering tang and crunch!
